"","Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source"
"4436","Procyon_lotor","Carnivora","Procyonidae","Procyon","lotor",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",6550,"Reported","Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 1 (2009)",NA,NA,"Occurs on mainland","LC","No",29,52,19,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"4662","Rangifer_tarandus","Cetartiodactyla","Cervidae","Rangifer","tarandus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",86034,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",100,0,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"5005","Sciurus_carolinensis","Rodentia","Sciuridae","Sciurus","carolinensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",506.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5145","Sorex_arcticus","Eulipotyphla","Soricidae","Sorex","arcticus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",8.2,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5156","Sorex_cinereus","Eulipotyphla","Soricidae","Sorex","cinereus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",4.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5163","Sorex_fumeus","Eulipotyphla","Soricidae","Sorex","fumeus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",7.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5168","Sorex_hoyi","Eulipotyphla","Soricidae","Sorex","hoyi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",2.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5177","Sorex_maritimensis","Eulipotyphla","Soricidae","Sorex","maritimensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",7.3,"Reported","Canadian Journal of Zoology 80: 94-99 (2002)",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
"5191","Sorex_palustris","Eulipotyphla","Soricidae","Sorex","palustris",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",13.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,30,70,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5382","Sylvilagus_floridanus","Lagomorpha","Leporidae","Sylvilagus","floridanus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1172.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5407","Synaptomys_borealis","Rodentia","Cricetidae","Synaptomys","borealis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",21.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5408","Synaptomys_cooperi","Rodentia","Cricetidae","Synaptomys","cooperi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",31.9,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5440","Tamias_striatus","Rodentia","Sciuridae","Tamias","striatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",111.9,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5442","Tamiasciurus_hudsonicus","Rodentia","Sciuridae","Tamiasciurus","hudsonicus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",201.2,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5709","Urocyon_cinereoargenteus","Carnivora","Canidae","Urocyon","cinereoargenteus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",3833.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",60,30,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5729","Ursus_americanus","Carnivora","Ursidae","Ursus","americanus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",99949.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",87,0,13,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"5731","Ursus_maritimus","Carnivora","Ursidae","Ursus","maritimus",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",388750.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"5779","Vulpes_lagopus","Carnivora","Canidae","Vulpes","lagopus",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",4867.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,90,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
"5784","Vulpes_vulpes","Carnivora","Canidae","Vulpes","vulpes",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",5318.2,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",11,88,1,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116."
"5816","Zapus_hudsonius","Rodentia","Dipodidae","Zapus","hudsonius",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",17.1,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
